OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,SOURCE_DATE,SOURCE,PARKING_ACCESS,STREET,PARKINGONSTREETID,PARKING_COST,CREATE_DATE,UPDATE_DATE,PAYMENT_METHOD,MAX_RATE,HOURS,DAYS,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,STATUS,Shape__Area,Shape__Length
233,PARKING,1,ON STREET,12/14/2011 1:38:37 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST N,5937,2 HOURS FREE,12/14/2011 12:16:15 PM,5/1/2017 9:51:48 AM,,,,,KITCHENER,10,1,ACTIVE,11.14013671875,14.5146339339724
234,PARKING,1,ON STREET,12/14/2011 1:38:36 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST N,5938,2 HOURS FREE,6/11/2014 9:34:55 AM,5/1/2017 9:53:37 AM,,,,,KITCHENER,10,1,ACTIVE,10.2216796875,14.194997431242
235,PARKING,1,ON STREET,12/14/2011 1:38:35 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,FRANCIS ST N,5939,2 HOURS FREE,6/11/2014 9:34:55 AM,5/1/2017 9:53:37 AM,,,,,KITCHENER,10,1,ACTIVE,9.0478515625,13.725755555497
236,PARKING,2,ON STREET,11/6/2012 3:41:19 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,5940,2 HOURS FREE,12/14/2011 1:35:29 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,1,ACTIVE,30.64404296875,35.38372093322
237,PARKING,11,ON STREET,12/14/2011 1:46:16 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,ONTARIO ST N,5941,2 HOURS FREE,12/14/2011 1:45:16 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,1,ACTIVE,95.181884765625,116.337402876492
238,PARKING,2,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,WATER ST N,5942,2 HOURS FREE,12/14/2011 2:10:42 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,2,ACTIVE,14.4287109375,22.8994171414128
239,PARKING,4,ON STREET,12/14/2011 2:15:07 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,WATER ST N,5943,2 HOURS FREE,12/14/2011 2:14:18 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,1,ACTIVE,89.734619140625,58.3474602027443
240,PARKING,2,ON STREET,12/13/2011 4:04:20 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,AHRENS ST W,5924, ,12/13/2011 11:50:03 AM,5/1/2017 3:44:58 PM,METERED,,,,KITCHENER,10,2,ACTIVE,36.114501953125,35.1379175450488
241,PARKING,1,ON STREET,12/13/2011 11:53:05 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,AHRENS ST W,1925, ,7/2/2003 3:07:58 PM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,10,2,ACTIVE,18.244140625,19.8487506308682
242,PARKING,1,ON STREET,12/13/2011 11:54:27 AM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,AHRENS ST W,5925, ,12/13/2011 11:54:21 AM,5/1/2017 3:44:58 PM,METERED,,,,KITCHENER,10,2,ACTIVE,14.7578125,16.9944485602812
244,PARKING,2,ON STREET,12/13/2011 12:00:36 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,AHRENS ST W,5927, ,12/13/2011 11:59:58 AM,4/12/2017 1:59:44 PM,METERED,,,,KITCHENER,10,2,ACTIVE,27.65771484375,26.0558591389461
247,PARKING,9,ON STREET,12/13/2011 4:20:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,DUKE ST E,5930,2 HOURS FREE,12/13/2011 4:19:31 PM,5/1/2017 3:18:33 PM,,,,,KITCHENER,10,2,ACTIVE,108.302734375,91.1117561329957
248,PARKING,4,ON STREET,11/5/2012 3:44:39 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,DUKE ST E,5931,2 HOURS FREE,12/13/2011 4:21:39 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,2,ACTIVE,72.117507529445,68.5918538630747
249,PARKING,1,ON STREET,11/5/2012 3:44:39 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,DUKE ST E,5932,2 HOURS FREE,12/13/2011 4:22:45 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,2,ACTIVE,25.8328750748187,34.8426631149644
251,PARKING,5,ON STREET,12/13/2011 4:04:22 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,MARGARET AVE,5912,2 HOURS FREE,12/12/2011 12:49:04 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,2,ACTIVE,38.865478515625,62.6509179125273
252,PARKING,9,ON STREET,12/13/2011 4:04:24 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,MARGARET AVE,5913,2 HOURS FREE,12/12/2011 12:52:26 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,2,ACTIVE,95.18896484375,126.549753199485
446,PARKING,7,ON STREET,3/12/2013 3:10:34 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6052,2 HOURS FREE,10/5/2012 5:28:28 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,9,3,ACTIVE,103.09228515625,100.480330406749
447,PARKING,3,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6053,2 HOURS FREE,10/5/2012 5:29:51 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,9,3,ACTIVE,40.401123046875,42.8910229533616
766,PARKING,2,ON STREET,3/12/2013 4:01:28 PM,INFRASTRUCTURE SERVICES - PARKING,PUBLIC,KING ST E,6232,2 HOURS FREE,3/12/2013 1:45:53 PM,4/12/2017 1:59:44 PM,,,,,KITCHENER,10,3,ACTIVE,29.040283203125,32.012417813607
